,CI_Name,CI_Cat,CI_Subcat,WBS,Incident_ID,Impact,Urgency,Priority,number_cnt,Category,KB_number,No_of_Reassignments,Open_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,Related_Interaction,No_of_Related_Incidents,No_of_Related_Changes,has_related_incidents,has_related_changes,Department
0,SUB000508,subapplication,Web Based Application,WBS000162,IM0000004,4,4,4,0.601292279,incident,KM0000553,26.0,2012-02-05 13:32:00,2013-11-04 13:50:00,2013-11-04 13:51:00,3871691111,Other,1.0,SD0000007,2.0,0.0,1,0,0
1,WBA000124,application,Web Based Application,WBS000088,IM0000005,3,3,3,0.415049969,incident,KM0000611,33.0,2012-03-12 15:44:00,2013-12-02 12:36:00,2013-12-02 12:36:00,4354786389,Software,1.0,SD0000011,1.0,0.0,1,0,0
3,WBA000124,application,Web Based Application,WBS000088,IM0000011,4,4,4,0.642927218,incident,KM0000611,13.0,2012-07-17 11:49:00,2013-11-14 09:31:00,2013-11-14 09:31:00,4321833333,Operator error,1.0,SD0000025,0.0,0.0,0,0,0
4,WBA000124,application,Web Based Application,WBS000088,IM0000012,4,4,4,0.345258343,incident,KM0000611,2.0,2012-08-10 11:01:00,2013-11-08 13:55:00,2013-11-08 13:55:00,3383903333,Other,1.0,SD0000029,0.0,0.0,0,0,0
5,WBA000124,application,Web Based Application,WBS000088,IM0000013,4,4,4,0.006675648,incident,KM0000611,4.0,2012-08-10 11:27:00,2013-11-08 13:54:00,2013-11-08 13:54:00,3383436944,Other,1.0,SD0000031,0.0,0.0,0,0,0
6,WBA000082,application,Web Based Application,WBS000055,IM0000014,4,4,4,0.19290712,incident,KM0000401,2.0,2012-08-15 14:17:00,2013-12-27 10:59:00,2013-12-27 10:59:00,3703191389,Unknown,1.0,SD0000033,0.0,0.0,0,0,0
7,WBA000124,application,Web Based Application,WBS000088,IM0000015,4,4,4,0.996467545,incident,KM0000611,5.0,2012-08-22 16:31:00,2013-11-08 14:09:00,2013-11-08 14:09:00,3294624167,Other,1.0,SD0000034,0.0,0.0,0,0,0
9,WBA000082,application,Web Based Application,WBS000055,IM0000018,4,4,4,0.306670312,incident,KM0000401,2.0,2012-09-03 16:04:00,2013-11-08 14:33:00,2013-11-08 14:35:00,3211526944,No error - works as designed,1.0,SD0000037,0.0,0.0,0,0,0
10,WBA000124,application,Web Based Application,WBS000088,IM0000019,4,4,4,0.439908807,incident,KM0000611,6.0,2012-09-21 12:56:00,2013-11-08 14:23:00,2013-11-08 14:23:00,3067449167,Software,1.0,SD0000040,0.0,1.0,0,1,0
11,WBA000124,application,Web Based Application,WBS000088,IM0000020,4,4,4,0.291927638,incident,KM0000611,8.0,2012-10-01 10:49:00,2013-11-08 14:18:00,2013-11-08 14:22:00,1322619167,Software,1.0,SD0000042,0.0,0.0,0,0,0
12,WBA000082,application,Web Based Application,WBS000055,IM0000021,4,4,4,0.776486429,incident,KM0000401,5.0,2012-10-02 12:12:00,2014-02-04 09:38:00,2014-02-04 09:38:00,1132428333,Software,2.0,#MULTIVALUE,0.0,0.0,0,0,0
13,WBA000124,application,Web Based Application,WBS000088,IM0000022,4,4,4,0.592713494,incident,KM0000611,17.0,2012-10-15 15:50:00,2013-10-10 12:53:00,2013-11-14 13:33:00,6675416667,Software,1.0,SD0000043,2.0,0.0,1,0,0
14,SBA000698,application,Server Based Application,WBS000090,IM0000023,3,3,3,0.025310167,incident,KM0000670,1.0,2012-10-18 14:33:00,2013-12-12 10:23:00,2013-12-12 10:24:00,3114358056,Data,1.0,SD0000045,0.0,0.0,0,0,0
15,WBA000082,application,Web Based Application,WBS000055,IM0000024,4,4,4,0.701704659,incident,KM0000401,3.0,2012-10-23 12:01:00,2013-11-08 14:57:00,2013-11-08 14:58:00,2837950556,Other,1.0,SD0000046,2.0,0.0,1,0,0
16,SUB000539,subapplication,Web Based Application,WBS000073,IM0000028,4,4,4,0.440612692,incident,KM0000852,1.0,2012-11-21 11:53:00,2013-12-20 11:30:00,2013-12-20 11:31:00,1223748333,Other,1.0,SD0000053,0.0,0.0,0,0,0
17,SUB000535,subapplication,Web Based Application,WBS000066,IM0000031,4,4,4,0.151630128,incident,KM0000928,7.0,2012-12-05 15:17:00,2013-10-30 08:45:00,2013-10-30 08:45:00,3792777778,Unknown,1.0,SD0000055,0.0,0.0,0,0,0
18,DTA000616,application,Desktop Application,WBS000092,IM0000033,3,3,3,0.860254961,incident,KM0001430,17.0,2012-12-07 14:34:00,2013-11-30 10:39:00,2013-11-30 10:39:00,2626733889,Other,2.0,#MULTIVALUE,0.0,0.0,0,0,0
19,WBA000082,application,Web Based Application,WBS000055,IM0000034,5,5,5,0.663615311,incident,KM0000401,5.0,2012-12-10 14:44:00,2014-03-28 14:20:00,2014-03-28 14:20:00,9317808333,Other,2.0,#MULTIVALUE,0.0,0.0,0,0,0
20,WBA000124,application,Web Based Application,WBS000088,IM0000035,4,4,4,0.42814765,incident,KM0000611,6.0,2012-12-24 16:31:00,2013-11-14 09:49:00,2013-11-14 09:49:00,1930483333,Referred,1.0,SD0000058,2.0,0.0,1,0,0
21,WBA000116,application,Web Based Application,WBS000066,IM0000038,4,4,4,0.070123275,incident,KM0000579,4.0,2013-01-15 15:36:00,2014-01-29 15:01:00,2014-01-29 15:01:00,2781911944,Software,1.0,SD0000063,1.0,0.0,1,0,0
22,WBA000124,application,Web Based Application,WBS000088,IM0000041,4,4,4,0.529580963,incident,KM0000611,2.0,2013-01-22 16:38:00,2013-11-08 14:55:00,2013-11-08 14:55:00,2150785833,Other,1.0,SD0000065,0.0,0.0,0,0,0
23,WBA000124,application,Web Based Application,WBS000088,IM0000042,4,4,4,0.898981779,incident,KM0000611,12.0,2013-01-23 14:39:00,2013-11-08 15:21:00,2013-11-08 15:22:00,2142712778,No error - works as designed,1.0,SD0000068,0.0,0.0,0,0,0
24,SUB000535,subapplication,Web Based Application,WBS000066,IM0000045,4,4,4,0.146862046,incident,KM0000928,7.0,2013-01-30 16:37:00,2014-01-27 12:33:00,2014-01-27 12:33:00,1118525,Software,1.0,SD0000072,0.0,0.0,0,0,0
25,SUB000535,subapplication,Web Based Application,WBS000066,IM0000046,4,4,4,0.941495195,incident,KM0000931,3.0,2013-01-31 17:27:00,2014-02-12 09:05:00,2014-02-12 09:05:00,2760606389,Other,1.0,SD0000073,1.0,0.0,1,0,0
26,WBA000082,application,Web Based Application,WBS000055,IM0000047,4,4,4,0.076103079,incident,KM0000401,4.0,2013-02-04 14:38:00,2014-01-02 15:22:00,2014-01-02 15:22:00,2447233889,Other,1.0,SD0000074,0.0,0.0,0,0,0
27,SBA000662,application,Server Based Application,WBS000071,IM0000048,5,5,5,0.748361437,request for information,KM0000524,0.0,2013-02-06 14:07:00,2013-10-17 14:00:00,2013-10-17 14:00:00,3885555556,No error - works as designed,2.0,#MULTIVALUE,0.0,0.0,0,0,0
28,SBA000607,application,Server Based Application,WBS000263,IM0000049,5,5,5,0.246183023,request for information,KM0000592,11.0,2013-02-08 10:47:00,2013-10-17 15:40:00,2013-10-17 15:40:00,1852881944,Other,1.0,SD0000076,0.0,0.0,0,0,0
29,SBA000263,application,Server Based Application,WBS000072,IM0000053,5,5,5,0.85372157,request for information,KM0001104,2.0,2013-02-18 11:59:00,2013-10-10 12:53:00,2013-12-04 14:00:00,2774555556,Other,2.0,#MULTIVALUE,0.0,0.0,0,0,0
30,WBA000124,application,Web Based Application,WBS000088,IM0000055,4,4,4,0.264909486,incident,KM0000611,9.0,2013-02-19 11:52:00,2013-12-23 13:03:00,2013-12-23 13:04:00,205036,Other,1.0,SD0000081,0.0,0.0,0,0,0
31,WBA000124,application,Web Based Application,WBS000088,IM0000056,4,4,4,0.243465909,incident,KM0000611,2.0,2013-02-20 10:14:00,2013-11-08 13:56:00,2013-11-08 13:57:00,1935710556,Other,1.0,SD0000082,0.0,0.0,0,0,0
32,SUB000433,subapplication,Web Based Application,WBS000073,IM0000057,4,4,4,0.121926581,incident,KM0000791,1.0,2013-02-25 16:03:00,2014-03-12 10:15:00,2014-03-12 10:16:00,2764633056,Other,3.0,#MULTIVALUE,0.0,0.0,0,0,0
33,WBA000124,application,Web Based Application,WBS000088,IM0000058,4,4,4,0.272361649,incident,KM0000611,2.0,2013-02-26 16:44:00,2013-11-12 13:40:00,2013-11-12 13:40:00,61125,Other,1.0,SD0000085,0.0,0.0,0,0,0
34,WBA000124,application,Web Based Application,WBS000088,IM0000059,4,4,4,0.153093248,incident,KM0000611,2.0,2013-02-28 12:23:00,2013-12-03 10:36:00,2013-12-03 10:36:00,8867166667,Other,2.0,#MULTIVALUE,0.0,0.0,0,0,0
35,WBA000133,application,Web Based Application,WBS000073,IM0000060,4,4,4,0.518267343,incident,KM0001633,0.0,2013-02-28 16:49:00,2013-11-20 16:38:00,2013-11-20 16:38:00,1917175278,No error - works as designed,1.0,SD0000086,0.0,0.0,0,0,0
36,SUB000431,subapplication,Web Based Application,WBS000066,IM0000061,5,5,5,0.433426008,request for information,KM0000603,3.0,2013-03-01 10:19:00,2013-10-10 12:53:00,2014-01-27 12:44:00,2333,Software,2.0,#MULTIVALUE,0.0,0.0,0,0,0
37,SUB000508,subapplication,Web Based Application,WBS000162,IM0000062,4,4,4,0.335109108,incident,KM0000553,2.0,2013-03-04 12:31:00,2013-11-08 15:33:00,2013-11-08 15:33:00,4911166667,No error - works as designed,1.0,SD0000087,0.0,0.0,0,0,0
38,WBA000124,application,Web Based Application,WBS000088,IM0000064,3,3,3,0.481872792,incident,KM0000611,4.0,2013-03-05 13:58:00,2013-11-08 15:35:00,2013-11-08 15:35:00,2162222222,Software,1.0,SD0000090,0.0,2.0,0,1,0
39,SBA000314,application,Server Based Application,WBS000054,IM0000067,5,5,5,0.719922533,incident,KM0000650,25.0,2013-03-11 09:08:00,2013-10-09 13:41:00,2013-10-09 13:41:00,8739805556,Other,2.0,#MULTIVALUE,0.0,0.0,0,0,0
40,SUB000508,subapplication,Web Based Application,WBS000162,IM0000068,4,4,4,0.466746714,incident,KM0000553,8.0,2013-03-12 09:54:00,2013-11-08 15:34:00,2013-11-08 15:34:00,3197894444,No error - works as designed,1.0,SD0000093,0.0,0.0,0,0,0
41,WBA000124,application,Web Based Application,WBS000088,IM0000071,4,4,4,0.640788604,incident,KM0000611,4.0,2013-03-15 15:25:00,2014-01-06 11:50:00,2014-01-06 11:51:00,1922361111,Other,2.0,#MULTIVALUE,0.0,0.0,0,0,0
42,SAP000005,application,SAP,WBS000271,IM0000073,5,5,5,0.683291495,request for information,KM0001124,30.0,2013-03-21 14:54:00,2013-10-01 07:52:00,2013-10-01 07:52:00,6839630556,Other,1.0,SD0000099,0.0,0.0,0,0,0
43,SUB000508,subapplication,Web Based Application,WBS000162,IM0000074,3,3,3,0.695187047,incident,KM0000553,15.0,2013-03-26 12:23:00,2014-03-24 13:28:00,2014-03-24 13:28:00,1564190278,Other,2.0,#MULTIVALUE,1.0,1.0,1,1,0
